NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
ELBA,2299,274,2573
VICENTA,1752,810,2562
DENNIS,2446,116,2562
ORBELINA,944,1612,2556
OTILIA,1313,1242,2555
NOHEMI,647,1885,2532
MARGARITO,1907,625,2532
DOMITILA,1619,869,2488
INGRID,2442,33,2475
LIZZETH,82,2391,2473
CORINA,1092,1355,2447
YOLANY,487,1944,2431
BLAS,1191,1205,2396
GENARO,1690,706,2396
MARISOL,386,2005,2391
MARILU,460,1931,2391
LUCAS,1934,451,2385
MAURO,1988,386,2374
DAISY,2103,263,2366
EDGAR,2226,122,2348
DARWIN,2235,109,2344
EUSEBIO,1699,641,2340
J,2314,24,2338
NAHUN,729,1602,2331
OCTAVIO,969,1344,2313
PAULINO,1718,592,2310
ENRRIQUE,407,1885,2292
ABRAHAM,1174,1110,2284
NICOLASA,1370,886,2256
VICTORINA,1560,696,2256
DILMA,1946,309,2255
JAMILETH,64,2189,2253
ARELY,488,1722,2210
FERMIN,1509,699,2208
AURELIO,677,1525,2202
ELDA,2091,111,2202
MEDARDO,1332,860,2192
DEL SOCORRO,0,2190,2190
ROXANA,830,1360,2190
ISOLINA,578,1608,2186
ONEIDA,821,1361,2182
FILOMENA,1324,854,2178
ROMAN,1311,865,2176
EVANGELINA,1427,747,2174
FELICIANO,1647,524,2171
MARY,1878,273,2151
MISAEL,874,1273,2147
DE LA PAZ,0,2146,2146
DIONICIO,1446,696,2142
RENAN,715,1424,2139
CELINA,760,1377,2137
VICTORIANO,1699,437,2136
DIMAS,1365,767,2132
CANDIDO,1809,321,2130
ERASMO,1186,939,2125
ALLAN,1905,220,2125
ROSAURA,1524,600,2124
EDIS,1925,199,2124
REYES,937,1185,2122
GERALDINA,402,1709,2111
NEPTALI,889,1211,2100
CRISTINO,1404,690,2094
TEOFILO,1753,339,2092
REGINA,659,1429,2088
DOUGLAS,1853,214,2067
FANY,2030,37,2067
LASTENIA,823,1227,2050
MODESTA,1455,593,2048
HAYDEE,680,1364,2044
LESBIA,1997,47,2044
FATIMA,1766,277,2043
YENY,2011,24,2035
LUCIANO,1587,432,2019
ZONIA,1799,220,2019
JACKELINE,226,1779,2005
PAULINA,1352,636,1988
YAMILET,95,1885,1980
JACINTO,1191,788,1979
MAXIMO,1705,269,1974
AMINTA,896,1075,1971
ARACELI,364,1601,1965
NATALIA,1084,881,1965
OLMAN,1853,109,1962
MERLIN,1852,109,1961
MANUELA,1301,657,1958
ADILIA,901,1052,1953
JUVENTINA,1012,922,1934
BENIGNO,1232,702,1934
HIPOLITO,1369,565,1934
CELSO,1708,213,1921
SANTA,1890,28,1918
ELVA,1546,363,1909
CELESTINO,1093,811,1904
ERMELINDA,1065,828,1893
NAPOLEON,845,1032,1877
DEISY,1644,230,1874
LAZARO,1429,440,1869
ELISEO,1219,645,1864
ELSY,1713,148,1861
LENIN,846,1013,1859
BERTILIA,1093,747,1840
HILARIO,1265,575,1840
MARCIO,1667,168,1835
LILIAM,1507,325,1832
DELMIS,1657,175,1832
ROSALIA,1309,520,1829
JUSTINA,1086,740,1826
MATIAS,1022,803,1825
RUFINA,960,858,1818
ARGELIA,819,998,1817
ROQUE,1402,409,1811
ADONAY,324,1483,1807
TANIA,1783,17,1800
CATALINO,1236,556,1792
JAIRO,1721,67,1788
GRICELDA,631,1148,1779
MARCIA,1647,131,1778
FEDERICO,1063,711,1774
EVELYN,1462,309,1771
LUCINDA,1106,659,1765
NARCISO,1322,438,1760
MAXIMINO,1419,340,1759
FREDIS,1562,186,1748
OSIRIS,727,1019,1746
SOCORRO,537,1205,1742
ROMELIA,1106,636,1742
DE DIOS,0,1733,1733
ESTANISLAO,1066,667,1733
CAMILO,1177,556,1733
LINDA,1041,690,1731
LORENZA,1136,590,1726
AMERICA,550,1171,1721
ISAAC,549,1170,1719
ERCILIA,962,756,1718
JULIANA,1278,438,1716
FAUSTINA,1177,538,1715
RAFAELA,1097,615,1712
VALENTINA,1111,597,1708
ABELINO,643,1062,1705
EDY,1600,96,1696
LINO,653,1039,1692
EVANGELISTA,358,1333,1691
GERTRUDIS,970,713,1683
ANABEL,643,1037,1680
SULEMA,377,1302,1679
MAXIMILIANO,1404,274,1678
JACQUELINE,266,1411,1677
ODILIA,747,930,1677
ASUNCION,745,923,1668
NORMAN,1552,116,1668
ALVARO,1321,342,1663
YESSICA,1629,31,1660
CARLA,1643,15,1658
CARMINDA,962,695,1657
ELVIS,1560,96,1656
ISRRAEL,787,863,1650
CONSTANTINO,1075,575,1650
EDA,1554,96,1650
EUFEMIA,938,707,1645
NIDIA,1433,211,1644
IVETH,210,1432,1642
FLORENTINA,1118,521,1639
ABRAHAN,858,780,1638
DELFINA,956,678,1634
VENTURA,685,946,1631
LILIA,1091,537,1628
FLORENCIO,1276,349,1625
NIEVES,636,983,1619
WALDINA,693,925,1618
EULALIA,887,725,1612
SALOME,579,1031,1610
FLORENCIA,1007,602,1609
EULALIO,1100,509,1609
MARCELA,817,788,1605
CELIA,1198,406,1604
DELMI,1454,150,1604
YANET,98,1500,1598
SATURNINO,1206,378,1584
CRISTIAN,1486,98,1584
ANASTACIO,1129,453,1582
YOBANY,133,1447,1580
ALEYDA,909,670,1579
FANNY,1557,22,1579
JEOVANY,130,1435,1565
EDIN,1438,127,1565
